model,class
AUDI A1 ,COMPACT
AUDI A3 ,SEDAN
AUDI A4,SEDAN
AUDI A5,SEDAN
AUDI Q3,SUV
BMW SERIE 1,COMPACT
BMW SERIE 3,SEDAN
BMW X1,SUV
FIAT 500,COMPACT
FIAT 500 X,SUV
KIA SPORTAGE,SUV
MERCEDES CLASSE A,SEDAN
MERCEDES CLASSE C,SEDAN
MERCEDES CLASSE E,SEDAN
PEUGEOT 208,COMPACT
PEUGEOT 3008,SUV
PEUGEOT 308,SEDAN
PEUGEOT E-208,COMPACT
RENAULT CLIO,COMPACT
RENAULT TWINGO,COMPACT
TESLA MODEL 3,SEDAN
TESLA MODEL S,SEDAN
TESLA MODEL X,SUV
TESLA MODEL Y,SUV
VOLKSWAGEN GOLF,SEDAN
VOLKSWAGEN POLO,COMPACT
VOLKSWAGEN TIGUAN,SUV
VOLKSWAGEN T-ROC,SUV
